Question|Answer|Bonus Question|Bonus Answer
I have two hands, a face, but no eyes. What am I?(single word, lowercase)|clock|At night they come without being fetched. By day they are lost without being stolen. What are they?(single word, lowercase)|stars
The more you have of it, the less you see. What is it?(single word, lowercase)|darkness|A farmer had 17 sheep. All but 9 died. How many are left?(integer)|9
A room has no doors or windows. Inside is a straw, a match, and a candle. How do you light the candle?(three words, lowercase)|strike the match|This statement is false. Is the statement true or false?(single word, lowercase)|false
I am the careful whisper passed around the hearth. I can pull the reed of justice or loosen the knot of peace. I am invisible until a verdict looms. What am I?(single word, lowercase)|rumor|I am bound to a rope and to a ledger; I am cut to feed a crowd and buried to end a feud. You may step on me to claim land, yet the ground remembers. What am I?(single word, lowercase)|boundary
I hold instructions no eye can read; I copy myself in secret rooms. I make you, remake you, and sometimes kill you by mistake. What am I?(three letters, uppercase)|DNA|I burn without flame, make power without hunger; I once came from the sea and now live under your skin. What am I?(single word, lowercase)|mitochondrion
I tidy rooms by design, folding curtains, shredding broken things. I decide quietly when you must go. What am I?(single word, lowercase)|apoptosis|I am a tiny invader, half-alive by night; I borrow life from others and rewrite their books. I can teach your immune system or ruin your city. What am I?(single word, lowercase)|virus
I learn without logic, trace paths by passing sparks, and can forget with a silence that ruins cities. What am I?(two words, lowercase)|neural network|I am a cell that learned to cheat the covenant: I grow faster, ignore the elders’ laws, and build a city of clones that will kill its host to survive. What am I?|cancer
I demand years from you and return only moments of clarity. Yet you kneel again, certain the next moment will redeem the last thousand hours. What am I?(single word, lowercase)|inquiry|I promise truth, but each truth I give you only multiplies the distances between what you know and what you thought knowing meant. What am I?(single word, lowercase)|knowledge
I grow only when I am proven wrong, and I die whenever I am certain. What am I?(single word, lowercase)|science|I pull you toward answers but hollow you out in the process. You call it rigor. I call it erosion. What am I?(single word, lowercase)|skepticism
I turn questions into currency and passion into performance, and still you chase me as if I can bless your work. What am I?(single word, lowercase)|publication|You think I am a mirror, but I am a lens. You think I illuminate, but I distort. What am I?(single word, lowercase)|model
I promise breakthroughs but deliver mostly noise; you sift through me anyway because you fear silence more. What am I?(single word, lowercase)|data|You think I am built from facts, but I am built from choices—what you measure, what you ignore, and what you pretend is neutral. What am I?(single word, lowercase)|objectivity
I convince you the summit is near, even as I move the mountain higher with every step you take. What am I?(single word, lowercase)|pride|I whisper that your insight is singular, and that contradiction is merely the noise of lesser minds. What am I?(single word, lowercase)|overconfidence
I claim neutrality, yet my fingerprints appear on every question you choose to ask and every question you quietly avoid. What am I?(single word, lowercase)|politics|I turn caution into cowardice, and declarations into dogma, until no one remembers the difference between evidence and loyalty. What am I?(single word, lowercase)|authority
I make you believe that you speak for nature itself, even when you are merely echoing the loudest room you inhabit. What am I?(single word, lowercase)|consensus|I hide inside good intentions and emerge only after the harm has scaled beyond ownership. What am I?(single word, lowercase)|ambition
I reward the confident, not the correct; the bold, not the precise; the dramatic, not the true. What am I?(single word, lowercase)|funding|I follow you across salt flats and scorched road, though I cast no shadow and speak no name. When you turn to face me, you age a year. What am I?(single word, lowercase)|consequences
I am the voice that calls from under the collapsed mine. You descend thinking to rescue me, but you only discover your own sound returning wrong. What am I?(single word,lowercase)|echo|In a vault where the air tastes of iron and forgotten prayers, I sleep inside glass that has never known sunlight. The ones who made me said I was a cure, though they spoke the word like a confession. When they fled, they left the lights burning so I would not think I was alone. Open the chamber, traveler, and I will show you which of us is the experiment.(single word, lowercase)|genome
